layer,columns,has_CEP,matches
EQTRMT,COD_ID;DIST;TIP_INST;UNI_TR_MT;CLAS_TEN;POT_NOM;LIG;FAS_CON;TEN_PRI;TEN_SEC;TEN_TER;LIG_FAS_P;LIG_FAS_S;LIG_FAS_T;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;IDUC;SITCONT;DAT_IMO;PER_FER;PER_TOT;R;XHL;XHT;XLT;DESCR,False,0
PIP,COD_ID;UC_ID;DIST;MUN;CONJ;SUB;UNI_TR_AT;CTMT;UNI_TR_MT;PN_CON;CLAS_SUB;FAS_CON;GRU_TEN;TEN_FORN;GRU_TAR;SIT_ATIV;ARE_LOC;PAC;TIP_CC;CAR_INST;TIPO_LAMP;POT_LAMP;PERDA_REAT;PERDA_RELE;PERDA_OUTR;CONTROLE;TIP_SIST;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DIC;FIC;LIV;SEMRED;DAT_CON;DESCR,False,0
PNT,COD_ID;DIST;SUB_GRP;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DESCR,False,0
PT,COD_ID;DIST;CATEG;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DESCR,False,0
RAMLIG,COD_ID;PN_CON_1;PN_CON_2;DIST;PAC_1;PAC_2;UNI_TR_MT;CTMT;FAS_CON;UNI_TR_AT;SUB;CONJ;ARE_LOC;TIP_INST;TIP_CND;POS;ODI;TI;CM;SITCONT;COMP;DESCR,False,0
SEGCON,COD_ID;DIST;GEOM_CAB;FORM_CAB;BIT_FAS_1;BIT_FAS_2;BIT_FAS_3;BIT_NEU;MAT_FAS_1;MAT_FAS_2;MAT_FAS_3;MAT_NEU;ISO_FAS_1;ISO_FAS_2;ISO_FAS_3;ISO_NEU;CND_FAS;R1;X1;R_REGUL;FTRCNV;CNOM;CMAX;TUC_FAS;A1_FAS;A2_FAS;A3_FAS;A4_FAS;A5_FAS;A6_FAS;TUC_NEU;A1_NEU;A2_NEU;A3_NEU;A4_NEU;A5_NEU;A6_NEU;UAR;DESCR,False,0
UCAT_tab,PN_CON;DIST;PAC;CTAT;SUB;CONJ;MUN;CEG_GD;BRR;CEP;CLAS_SUB;CNAE;TIP_CC;FAS_CON;GRU_TEN;TEN_FORN;GRU_TAR;SIT_ATIV;DAT_CON;CAR_INST;DEM_CONT;LIV;ARE_LOC;TIP_SIST;DEM_P_01;DEM_P_02;DEM_P_03;DEM_P_04;DEM_P_05;DEM_P_06;DEM_P_07;DEM_P_08;DEM_P_09;DEM_P_10;DEM_P_11;DEM_P_12;DEM_F_01;DEM_F_02;DEM_F_03;DEM_F_04;DEM_F_05;DEM_F_06;DEM_F_07;DEM_F_08;DEM_F_09;DEM_F_10;DEM_F_11;DEM_F_12;ENE_P_01;ENE_P_02;ENE_P_03;ENE_P_04;ENE_P_05;ENE_P_06;ENE_P_07;ENE_P_08;ENE_P_09;ENE_P_10;ENE_P_11;ENE_P_12;ENE_F_01;ENE_F_02;ENE_F_03;ENE_F_04;ENE_F_05;ENE_F_06;ENE_F_07;ENE_F_08;ENE_F_09;ENE_F_10;ENE_F_11;ENE_F_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;DESCR;COD_ID,True,0
UCBT_tab,DIST;PAC;RAMAL;PN_CON;UNI_TR_MT;CTMT;UNI_TR_AT;SUB;CONJ;MUN;CEG_GD;BRR;CEP;CLAS_SUB;CNAE;TIP_CC;FAS_CON;GRU_TEN;TEN_FORN;GRU_TAR;SIT_ATIV;DAT_CON;CAR_INST;LIV;ARE_LOC;TIP_SIST;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;SEMRED;DESCR;COD_ID,True,364
UCMT_tab,PN_CON;DIST;PAC;CTMT;UNI_TR_AT;SUB;CONJ;MUN;CEG_GD;BRR;CEP;CLAS_SUB;CNAE;TIP_CC;FAS_CON;GRU_TEN;TEN_FORN;GRU_TAR;SIT_ATIV;DAT_CON;CAR_INST;DEM_CONT;LIV;ARE_LOC;TIP_SIST;DEM_01;DEM_02;DEM_03;DEM_04;DEM_05;DEM_06;DEM_07;DEM_08;DEM_09;DEM_10;DEM_11;DEM_12;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;SEMRED;DESCR;COD_ID,True,0
UGAT_tab,PN_CON;DIST;PAC;CTAT;CEG_GD;CONJ;MUN;SUB;BRR;CEP;CNAE;FAS_CON;GRU_TEN;TEN_CON;SIT_ATIV;DAT_CON;POT_INST;DEM_CONT;TIP_SIST;DEM_P_01;DEM_P_02;DEM_P_03;DEM_P_04;DEM_P_05;DEM_P_06;DEM_P_07;DEM_P_08;DEM_P_09;DEM_P_10;DEM_P_11;DEM_P_12;DEM_F_01;DEM_F_02;DEM_F_03;DEM_F_04;DEM_F_05;DEM_F_06;DEM_F_07;DEM_F_08;DEM_F_09;DEM_F_10;DEM_F_11;DEM_F_12;ENE_P_01;ENE_P_02;ENE_P_03;ENE_P_04;ENE_P_05;ENE_P_06;ENE_P_07;ENE_P_08;ENE_P_09;ENE_P_10;ENE_P_11;ENE_P_12;ENE_F_01;ENE_F_02;ENE_F_03;ENE_F_04;ENE_F_05;ENE_F_06;ENE_F_07;ENE_F_08;ENE_F_09;ENE_F_10;ENE_F_11;ENE_F_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;DESCR;COD_ID,True,0
UGBT_tab,PN_CON;DIST;PAC;CEG_GD;UNI_TR_MT;CTMT;UNI_TR_AT;SUB;CONJ;MUN;BRR;CEP;CNAE;FAS_CON;GRU_TEN;TEN_CON;SIT_ATIV;DAT_CON;POT_INST;DEM_CONT;TIP_SIST;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;DESCR;COD_ID,True,0
UGMT_tab,PN_CON;DIST;PAC;CEG_GD;CTMT;UNI_TR_AT;SUB;CONJ;MUN;BRR;CEP;CNAE;FAS_CON;GRU_TEN;TEN_CON;SIT_ATIV;DAT_CON;POT_INST;DEM_CONT;TIP_SIST;DEM_01;DEM_02;DEM_03;DEM_04;DEM_05;DEM_06;DEM_07;DEM_08;DEM_09;DEM_10;DEM_11;DEM_12;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DIC_01;DIC_02;DIC_03;DIC_04;DIC_05;DIC_06;DIC_07;DIC_08;DIC_09;DIC_10;DIC_11;DIC_12;FIC_01;FIC_02;FIC_03;FIC_04;FIC_05;FIC_06;FIC_07;FIC_08;FIC_09;FIC_10;FIC_11;FIC_12;DESCR;COD_ID,True,0
