__layer,CEP,COD_ID,PN_CON,lon,lat,DIST,PAC,RAMAL,UNI_TR_MT,CTMT,UNI_TR_AT,SUB,CONJ,MUN,CEG_GD,BRR,CLAS_SUB,CNAE,TIP_CC,FAS_CON,GRU_TEN,TEN_FORN,GRU_TAR,SIT_ATIV,DAT_CON,CAR_INST,LIV,ARE_LOC,TIP_SIST,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,DIC_01,DIC_02,DIC_03,DIC_04,DIC_05,DIC_06,DIC_07,DIC_08,DIC_09,DIC_10,DIC_11,DIC_12,FIC_01,FIC_02,FIC_03,FIC_04,FIC_05,FIC_06,FIC_07,FIC_08,FIC_09,FIC_10,FIC_11,FIC_12,SEMRED,DESCR
UCBT_tab,01310-200,5b83eee55ab15f066b91a2a43ea39619cfbb528aef30fd1462a394da715cfd26,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,CO9,8630-5/04,COM-Tipo02,ABN,BT,10,B3,AT,23/10/1990,7.5,0,UB,RD_INTERLIG,56.0,135.0,207.631,142.0,137.0,83.0,65.52,61.61,110.0,136.0,64.9,156.83,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,712f82a7d9bc7d234a9f77b9ffcbf5c86a606e5107815634bcc42472f60a8bae,10971365,,,390,33073873739357834L,12298004S1,14374600,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1904 BELA VISTA,CO1,6810-2/02,COM-Tipo02,ABCN,BT,10,B3,AT,10/01/1992,23.8,0,UB,RD_INTERLIG,1440.0,2640.0,1750.184,1490.0,1620.0,1730.0,1444.8,1067.5,1660.0,1790.0,837.8,1568.3,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,88b13c71717b915b778b0345934d5ea527571c439d7848bde359c4e7356515d2,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,CO9,8211-3/00,COM-Tipo02,ABN,BT,10,B3,AT,02/06/1992,2.4,0,UB,RD_INTERLIG,460.0,460.0,228.285,740.0,500.0,460.0,369.6,298.9,440.0,500.0,253.7,420.76,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,7bdae42267c835cf12ed204fdf3c840b45b0829c4d33dc9343d53af2915c017b,1311192,,,390,33101008739331863L,12307748S1,14375704,BRG0201,DBRG-EQ-TR1,DBRG,16573,3550308, ,AV PAULISTA 1578 BELA VISTA,RE1, ,RES-Tipo05,ABC,BT,10,B1,AT,24/01/2002,7.0,0,UB,RD_INTERLIG,6364.28,10200.0,17160.0,13800.0,15120.0,13560.0,14280.0,14760.0,13200.0,15480.0,13320.0,13282.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,e2a657a7decd405ea66b63e291132f8fa8976d8df109d79f169e779dc316dbd2, ,,,390,33088242739344597L,12307182S1,14375010,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1728 BELA VISTA,CO1,6422-1/00,COM-Tipo05,ABCN,BT,10,B3,AT,22/11/2007,45.0,0,UB,RD_INTERLIG,3171.2,3188.0,4095.21,2768.0,3086.4,2360.8,1809.02,1475.71,2533.6,2710.4,1297.53,2551.36,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,73e4694f27eb156500cc7e97751b1a0927a700c0509b3205d34857d4ae66a008, ,,,390,33088242739344597L,12307182S1,14375010,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1728 BELA VISTA,CO1,6431-0/00,COM-Tipo05,ABCN,BT,10,B3,AT,22/11/2007,45.0,0,UB,RD_INTERLIG,4307.2,4313.6,5993.681,4209.6,4377.6,3561.6,2642.3,2073.02,3643.2,3860.8,1909.71,3574.2,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,d50751b45f6a10f4b8b0c497bdddc4b5fedc16e5b744f61e1674a8c43d9b37c0,10971323,,,390,33071144739360737L,12297875S1,14374375,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2006 BELA VISTA,CO3,6120-5/01,COM-Tipo02,ABCN,BT,10,B3,DS,25/02/2009,11.8,0,UB,RD_INTERLIG,50.0,50.0,108.707,50.0,50.0,50.0,42.0,30.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,29006ef71d5677c9879bcfbf5d9de6b473410da8a67d6052e7e9fe35dfe75ed4,10971152,,,390,33061008739369866L,12297501S1,14373896,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2064 BELA VISTA,RE1, ,RES-Tipo03,ABCN,BT,10,B1,AT,04/12/2012,95.1,0,UB,RD_INTERLIG,50.03,50.0,50.0,160.0,160.0,50.0,160.0,81360.0,7440.0,2680.0,4640.0,8233.41,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,e8475ab1e28fdc99ad00bc25cf57c53ad26b8fda6ad3dc8703c3e2358366a9ca,10971152,,,390,33061008739369866L,12297501S1,14373896,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 2064 BELA VISTA,CO1,4713-0/04,COM-Tipo05,ABN,BT,10,B3,AT,04/12/2012,47.2,0,UB,RD_INTERLIG,2814.0,2455.0,2611.144,2529.0,2675.0,2447.0,2020.2,1585.39,2732.0,2721.0,1711.0,2362.02,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,1b34745aa5105d5f249f799376c0e45c2385774395c0c62f4b44e0c33d1c937d,10971520,,,390,33083328739348867L,12307012S1,14374917,AUG0202,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1776 BELA VISTA,CO1,8630-5/02,COM-Tipo02,ABCN,BT,10,B3,AT,29/07/2022,24.8,0,UB,RD_INTERLIG,678.0,579.0,927.272,562.0,644.0,476.0,357.0,305.61,650.0,709.0,341.61,646.44,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
